ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_7.duration,continue_button_7.keys,continue_button_7.rt,continue_button_7.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_end.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_end.started,instructions_end.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,0.99,22.632743900001515,23.632395200023893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,22.647148800024297,23.682040200044867,21.13117480004439,60.01601227522506,,,20.368153000017628,21.13117480004439,,,20.350762200017925,21.116430000052787,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,21.13117480004439,22.630466300004628,1,right,,0,,,2025.2.4,,,,,,21.123030800023116,22.632698700006586,,,,,21.131050666681645,21.797674000030383,5,0,2026-08-24_21:21:46.802352,5,,,,,,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,25.94861530000344,26.74801620002836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,25.962532100034878,26.797743200033437,24.447568400006276,60.01601227522506,,,23.682040200044867,24.447568400006276,,,23.662037100002635,24.434286700037774,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,24.447568400006276,25.962532100034878,1,left,,0,,,2025.2.4,,,,,,24.43830010003876,25.948571200016886,,,,,24.44898306671918,25.329477000050247,6,0,2026-08-24_21:21:50.116239,6,,,,,,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,29.065716700046323,29.84788340004161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,29.079849700035993,29.897645100019872,27.56303320004372,60.01601227522506,,,26.797743200033437,27.56303320004372,,,26.778464300034102,27.54916640004376,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,27.56303320004372,29.06349130003946,1,right,,0,,,2025.2.4,,,,,,27.554064900032245,29.06567720003659,,,,,27.563656166723618,28.045935600006487,7,0,2026-08-24_21:21:53.231942,7,,,,,,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,32.36511470004916,33.599220300035086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,32.37979270005599,33.64614680001978,30.661849800031632,60.01601227522506,,,29.897645100019872,30.661849800031632,,,29.876768800022546,30.647069600003306,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,30.661849800031632,32.16230520000681,0,right,,0,,,2025.2.4,,,,,,30.651245300017763,32.36507270002039,,,,,30.66168686672269,31.227860500046518,8,0,2026-08-24_21:21:56.331844,8,,,,,,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,35.91265100002056,37.02911690005567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,35.92925420001848,37.07817290001549,34.41202810005052,60.01601227522506,,,33.64614680001978,34.41202810005052,,,33.624625400057994,34.397867600026075,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,34.41202810005052,35.910552700050175,1,left,,0,,,2025.2.4,,,,,,34.400571100006346,35.91261110000778,,,,,34.41227346670736,34.99350400001276,9,0,2026-08-24_21:22:00.080346,9,,,,,,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,39.346399200032465,40.610918700054754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,39.360333500022534,40.74327950004954,37.84305970004061,60.01601227522506,,,37.07817290001549,37.84305970004061,,,37.05904770002235,37.82853020000039,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,37.84305970004061,39.34435890003806,1,left,,0,,,2025.2.4,,,,,,37.83129540004302,39.346358000009786,,,,,37.84311476670361,38.54480400000466,10,0,2026-08-24_21:22:03.512372,10,,,,,,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,,,38.53031890001148,r,0.4580432000220753,41.11060300003737,,,,,,,,,,,,,,,,,,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,,,,60.01601227522506,,,,,,,,,,,,,,,,40.74327950004954,,,,,,,,,,,,40.70858300005784,42.41236950003076,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5880740000284277,r,1.6672266999958083,42.91059960005805,,,,,,,,,,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,,,,60.01601227522506,,,,,,,,,,,,,,,,,42.44238880003104,,,,,,,,,,,,,42.42330410005525,43.378398600034416,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.94437400001334,47.09434490004787,1.14,,,1,47.10373900004197,47.103824600053485,,,hammer,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,46,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,44.45854370004963,45.958987200050615,47.17878490005387,,,,60.01601227522506,43.68842660001246,44.45854370004963,,,43.6606582000386,44.428320300008636,,,hammer\hammer_46.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,44.45854370004963,,,,,None,,0,,,2025.2.4,,,1,44.45035820000339,45.94431530003203,,,None,None,44.45961523336203,44.97384780005086,,,0,0,2026-08-24_21:22:10.122626,0,1,localizer,,None,,,None,,0,0,0,0,,,,,,hammer,Marteau,Hammer,
49.65990440000314,50.79330410005059,1.12,,,1,50.79336550005246,50.79339650005568,,,hand,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,r,2026-08-24_21h21.25.115,46,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,47.93974870000966,49.67434260004666,50.865852000017185,,,,60.01601227522506,47.17878490005387,47.93974870000966,,,47.15649990004022,47.926980200049,,,hand\hand_46.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,None,,47.93974870000966,,,,,left,,0,,,2025.2.4,,,1,47.928910200018436,49.65984610002488,,,None,None,47.941691866672286,48.658068200049456,,,1,0,2026-08-24_21:22:13.612984,1,2,localizer,,None,,,None,,1,1,0,1,,,,,,bicycle,Vélo,Fahrrad,
53.11066650005523,54.12598850001814,1.01,,,1,54.12606280000182,54.12609530001646,,,jacket,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,10,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,51.63980890001403,53.125402400037274,54.20942660002038,,,,60.01601227522506,50.865852000017185,51.63980890001403,,,50.84601660002954,51.60975730000064,,,jacket\jacket_10.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,51.63980890001403,,,,,None,,0,,,2025.2.4,,,1,51.63097320002271,53.11058800003957,,,None,None,51.64089153335274,52.17377570003737,,,2,0,2026-08-24_21:22:17.300051,2,3,localizer,,None,,,None,,2,2,0,2,,,,,,jacket,Veste,Jacke,
56.47154780005803,57.58776510000462,1.11,,,1,57.58781670004828,57.587844800029416,,,flower,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,1,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,55.00543960003415,56.48842710000463,57.621089500025846,,,,60.01601227522506,54.20942660002038,55.00543960003415,,,54.189671400003135,54.961397300008684,,,flower\flower_01.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,55.00543960003415,,,,,None,,0,,,2025.2.4,,,1,54.983222700015176,56.47148350003408,,,None,None,54.990831733339775,55.90541080001276,,,3,0,2026-08-24_21:22:20.643626,3,4,localizer,,None,,,None,,3,3,0,3,,,,,,flower,Fleur,Blume,
59.8877358000027,61.053506200027186,1.16,,,1,61.05356720002601,61.053600800049026,,,house,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,1,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,58.40227160003269,59.90249860001495,61.08639160002349,,,,60.01601227522506,57.621089500025846,58.40227160003269,,,57.61090910003986,58.37149230000796,,,house\house_01.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,58.40227160003269,,,,,None,,0,,,2025.2.4,,,1,58.38907250005286,59.88767390005523,,,None,None,58.40263073333384,58.93572640005732,,,4,0,2026-08-24_21:22:24.055289,4,5,localizer,,None,,,None,,4,4,0,4,,,,,,house,Maison,Haus,
63.35496560001047,64.46913310000673,1.11,,,1,64.46918800001731,64.4692183000152,,,ball,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,1,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,61.85104710003361,63.36801070004003,64.56858910003211,,,,60.01601227522506,61.08639160002349,61.85104710003361,,,61.077436900057364,61.836858900031075,,,ball\ball_01.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,61.85104710003361,,,,,None,,0,,,2025.2.4,,,1,61.844548500026576,63.35490920004668,,,None,None,61.851530466698264,62.63463930005673,,,5,0,2026-08-24_21:22:27.520591,5,6,localizer,,None,,,None,,5,5,0,5,,,,,,ball,Ballon,Ball,
66.83493990002898,67.81842120003421,0.98,,,1,67.81847600004403,67.8185048000305,,,bread,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,15,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,65.3498702000361,66.84965610003565,67.85335170000326,,,,60.01601227522506,64.56858910003211,65.3498702000361,,,64.530217200052,65.32095590000972,,,bread\bread_15.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,65.3498702000361,,,,,None,,0,,,2025.2.4,,,1,65.34049850003794,66.83488000003854,,,None,None,65.35232283338749,66.2666612000321,,,6,0,2026-08-24_21:22:31.002788,6,7,localizer,,None,,,None,,6,6,0,6,,,,,,bread,Pain,Brot,
70.10336980002467,70.91759110003477,0.81,,,1,70.91764460003469,70.91767270001583,,,bicycle,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,23,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,68.61613700003363,70.1175003000535,70.9691681000404,,,,60.01601227522506,67.85335170000326,68.61613700003363,,,67.84270570002263,68.60152840003138,,,bicycle\bicycle_23.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,68.61613700003363,,,,,None,,0,,,2025.2.4,,,1,68.60471780004445,70.10327210003743,,,None,None,68.61600926670168,69.33266780001577,,,7,0,2026-08-24_21:22:34.287551,7,8,localizer,,None,,,None,,7,7,0,7,,,,,,bicycle,Vélo,Fahrrad,
72.66705940000247,74.51656390004791,0.84,,,1,74.51661880000029,74.51664590003202,,,hand,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,12,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,71.74917160003679,72.68131170002744,74.54912640003022,,,,60.01601227522506,70.9691681000404,71.74917160003679,,,70.95388910005568,71.7181596000446,,,hand\hand_12.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,28.693039800040424,r,0.8561594999628142,71.74917160003679,,,,,None,,0,,,2025.2.4,,,1,71.73388100002194,72.66700310003944,,,None,None,71.7494537333337,72.23122900002636,,,8,0,2026-08-24_21:22:37.403367,8,9,localizer,,None,,28.693039800040424,r,0.8561594999628142,8,8,0,8,,,,,,hand,Main,Hand,
76.81726580002578,77.59914390003541,0.78,,,1,77.59924160002265,77.59927720000269,,,chair,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,14,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,75.33007940003881,76.83180690003792,77.65014090004843,,,,60.01601227522506,74.54912640003022,75.33007940003881,,,74.53940780000994,75.29952950001461,,,chair\chair_14.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,75.33007940003881,,,,,None,,0,,,2025.2.4,,,1,75.31640130002052,76.81720040005166,,,None,None,75.33056903334412,76.24859610002022,,,9,0,2026-08-24_21:22:40.983325,9,10,localizer,,None,,,None,,9,9,0,9,,,,,,chair,Chaise,Stuhl,
79.84972740005469,81.66415190004045,0.8,,,1,81.66424770001322,81.664308300009,,,hammer,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,r,2026-08-24_21h21.25.115,40,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,78.41355920000933,79.86393890000181,81.71345900004962,,,,60.01601227522506,77.65014090004843,78.41355920000933,,,77.64154720003717,78.39179900003364,,,hammer\hammer_40.jpg,,,,,,,,,,,,,,,,,,,,,,,0,1,1,7.292607299983501,r,0.578583599999547,78.41355920000933,,,,,right,,0,,,2025.2.4,,,1,78.39500270003919,79.8496368000051,,,None,None,78.40635646670513,79.33129680005368,,,10,0,2026-08-24_21:22:44.084340,10,11,localizer,,None,,7.292607299983501,r,0.578583599999547,10,10,0,10,,,,,,bread,Pain,Brot,
83.97968990000663,84.76282420003554,0.78,,,1,84.76287850004155,84.76290770003106,,,chair,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,7,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,82.47824600001331,83.99478800001089,84.7956202000496,,,,60.01601227522506,81.71345900004962,82.47824600001331,,,81.70511970005464,82.4640306000365,,,chair\chair_07.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,82.47824600001331,,,,,None,,0,,,2025.2.4,,,1,82.46739780000644,83.97963170002913,,,None,None,82.47829386667969,83.39463840000099,,,11,0,2026-08-24_21:22:48.147658,11,12,localizer,,None,,,None,,11,11,0,11,,,,,,chair,Chaise,Stuhl,
87.06329000002006,88.09503450000193,1.03,,,1,88.09508790000109,88.09511630004272,,,ball,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,24,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,85.56174010003451,87.07678820000729,88.12960600003134,,,,60.01601227522506,84.7956202000496,85.56174010003451,,,84.78556360001676,85.54778200003784,,,ball\ball_24.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,85.56174010003451,,,,,None,,0,,,2025.2.4,,,1,85.55073870002525,87.06322170002386,,,None,None,85.56239286670849,86.34366740001133,,,12,0,2026-08-24_21:22:51.229819,12,13,localizer,,None,,,None,,12,12,0,12,,,,,,ball,Ballon,Ball,
90.37978910002857,91.59417970001232,1.2,,,1,91.59424040000886,91.59427320002578,,,dog,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,34,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,88.9091185000143,90.39463740005158,91.6438777000294,,,,60.01601227522506,88.12960600003134,88.9091185000143,,,88.1180162000237,88.87842410005396,,,dog\dog_34.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,88.9091185000143,,,,,None,,0,,,2025.2.4,,,1,88.89775280002505,90.37972010002704,,,None,None,88.90973343334238,89.39266960002715,,,13,0,2026-08-24_21:22:54.563805,13,14,localizer,,None,,,None,,13,13,0,13,,,,,,dog,Chien,Hund,
93.89387730002636,95.14323230000446,1.25,,,1,95.14328330004355,95.14331050001783,,,bicycle,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-24_21h21.25.115,13,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,92.4082396000158,93.90829460002715,95.21081920003053,,,,60.01601227522506,91.6438777000294,92.4082396000158,,,91.63004690001253,92.39325920003466,,,bicycle\bicycle_13.jpg,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,None,,92.4082396000158,,,,,None,,0,,,2025.2.4,,,1,92.39547260000836,93.89381890004734,,,None,None,92.40817656671085,93.10827270004665,,,14,0,2026-08-24_21:22:58.078077,14,15,localizer,,None,,,None,,14,14,0,14,,,,,,bicycle,Vélo,Fahrrad,
